,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
818,0.2762,"(0.2674528557502071, 0.2850776526150992)",0.217,"(0.19910999306306743, 0.235723421063753)",False,RidgeClassifier,"{'alpha': 1204.5035402587837, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
819,0.5489,"(0.5390841011092294, 0.55868740459905)",0.4195,"(0.3977542501816326, 0.4414821228149183)",False,RandFeaturesCoatesNg_2to4,"{'num_filters': 16, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
820,0.2666,"(0.257952368360501, 0.27538374956234657)",0.2055,"(0.18798315045745098, 0.22388444001172103)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
821,0.928,"(0.9227579846864662, 0.9329910716613039)",0.848,"(0.8315068327845155, 0.863465643888317)",False,DenseNet121,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
822,0.3895,"(0.37992583054174234, 0.399138567241346)",0.2915,"(0.27165062774681653, 0.3119623759895047)",False,RidgeClassifier,"{'alpha': 0.0016681005372000592, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
823,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
824,0.2533,"(0.24479890626713355, 0.261944986342059)",0.2025,"(0.18508405316638257, 0.22079246213030213)",False,RidgeClassifier,"{'alpha': 3.5938136638046404e+16, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
825,0.9389,"(0.9340263811270795, 0.9435160239305305)",0.858,"(0.8419280549212746, 0.8730142837809947)",False,VGG19,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
826,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 2.718588242732929e+17, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
827,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 5590810182512.223, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
828,0.5187,"(0.508852786921476, 0.52853631678841)",0.3745,"(0.353235475890119, 0.3961331386775979)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
829,0.7378,"(0.7290610236014695, 0.7464002868184725)",0.5735,"(0.5514804019336151, 0.5953037863391935)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1.0, 'zca': False, 'tot_patches': 100000}"
830,0.7306,"(0.7217883305421274, 0.739277187839929)",0.602,"(0.5801610157657517, 0.6235394441629586)",True,imgnt_shufflenet_v2_x0_5,"{'num_classes': 10, 'input_size': (32, 32), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
831,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 5.994842503189421e+19, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
832,0.9192,"(0.9136855846542001, 0.9244687931736859)",0.8405,"(0.8237065076389936, 0.8562885100752361)",False,PNASNetB,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
833,0.9538,"(0.9495015200056292, 0.9578316236422846)",0.8885,"(0.8738824262605678, 0.9019672047699314)",False,ResNeXt29_32x4d,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
834,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ShuffleNetV2_1,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
835,0.6553,"(0.645890688178788, 0.6646187891122017)",0.5205,"(0.49833886510843795, 0.542600951485062)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
836,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 0.00011233240329780277, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
837,0.9258,"(0.9204879626751252, 0.9308624275021495)",0.838,"(0.8211092148483758, 0.8538933058767085)",False,VGG11,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
838,0.7489,"(0.7402789679243931, 0.7573758530483337)",0.579,"(0.5570094722778152, 0.6007585608884354)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
839,0.6956,"(0.6864751504895584, 0.7046108100302746)",0.549,"(0.5268839715405499, 0.5709721669824224)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
840,0.9534,"(0.9490847495168763, 0.9574486464230892)",0.888,"(0.8733562356901307, 0.9014949274257791)",False,ResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
841,0.3753,"(0.36579730954841017, 0.3848753673224904)",0.275,"(0.2555224501504436, 0.2951392545000293)",False,RidgeClassifier,"{'alpha': 10.0, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
842,0.5434,"(0.533575713581599, 0.5531989971800286)",0.406,"(0.3843788101048177, 0.4278972231251258)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
843,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 4750810162102813.0, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
844,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 4.5348785081285915e+20, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
845,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
846,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
847,0.6992,"(0.6901044114518146, 0.7081794473383538)",0.5465,"(0.5243771436017745, 0.5684863357648604)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
848,0.9536,"(0.9492931242601272, 0.9576401455655933)",0.892,"(0.8775682353892639, 0.9052706566619619)",False,ResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
849,0.7308,"(0.7219903101860875, 0.7394750913222132)",0.565,"(0.542940851519561, 0.58686830137792)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
850,0.6037,"(0.5940341951383481, 0.6133053712820207)",0.457,"(0.4349947591458245, 0.47913148456312715)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
851,0.9122,"(0.9064824433825903, 0.9176761445096415)",0.8315,"(0.8143625742761339, 0.847659431349787)",False,VGG13,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
852,0.423,"(0.4132906899678089, 0.43275418052142856)",0.3295,"(0.308912784476567, 0.3505882285017311)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
853,0.7193,"(0.7103800788903756, 0.7280920416341835)",0.5605,"(0.5384225423565296, 0.582399826055507)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
854,0.9087,"(0.9028849162623648, 0.9142757703891982)",0.812,"(0.7941739240559129, 0.8289063630063325)",False,ShuffleNetV2_1,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
855,0.3656,"(0.3561511282225956, 0.3751272048629417)",0.268,"(0.24869020626530275, 0.2879921757173006)",False,RidgeClassifier,"{'alpha': 0.7220809018385457, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
856,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 83021756813197.69, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
857,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
858,0.9042,"(0.8982631939018546, 0.909900185810824)",0.809,"(0.7910743795290719, 0.8260148537936165)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
859,0.2534,"(0.24489776583171377, 0.2620460683066066)",0.202,"(0.18460101726969713, 0.22027698589413058)",False,RidgeClassifier,"{'alpha': 2420128264794383.5, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
860,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 100000000.0, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
861,0.4979,"(0.48805207882405777, 0.5077491448178575)",0.3955,"(0.3739873235561561, 0.41731956315779717)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
862,0.6551,"(0.6456894668728717, 0.6644201270832805)",0.5195,"(0.49733858077966736, 0.5416041716573048)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
863,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 7.924828983539186e+18, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
864,0.732,"(0.7232022352517212, 0.7406624649973589)",0.5815,"(0.559523594232199, 0.6032370952738628)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
865,0.5187,"(0.508852786921476, 0.52853631678841)",0.3825,"(0.36113599449659906, 0.40420910111420305)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
866,0.9211,"(0.9156427111185276, 0.9263105207231813)",0.825,"(0.8076247307229066, 0.8414167291393597)",False,VGG19,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
867,0.2556,"(0.2470728264737391, 0.26426972136351146)",0.2025,"(0.18508405316638257, 0.22079246213030213)",False,RidgeClassifier,"{'alpha': 3.430469286314926e+21, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
868,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.946060606060606, 'weight_decay': 0.08111308307896872, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.3102040816326531}"
869,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
870,0.9164,"(0.9108029810432972, 0.9217530829688457)",0.8385,"(0.8216285634897749, 0.8543724570390999)",False,VGG19,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
871,0.7008,"(0.6917176271688216, 0.7097652974599965)",0.548,"(0.5258811738064555, 0.5699779010730088)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
872,0.7671,"(0.758688532107824, 0.7753556420173311)",0.5995,"(0.5776421776475896, 0.6210656285564549)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
873,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,densenet_cifar,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
874,0.7369,"(0.7281517753813984, 0.74551006109199)",0.601,"(0.5791534106670783, 0.6225499878152344)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
875,0.9119,"(0.9061739822731941, 0.9173847856653541)",0.82,"(0.8024475163921847, 0.8366088891486337)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
876,0.519,"(0.5091529212912231, 0.5288360076101841)",0.3825,"(0.36113599449659906, 0.40420910111420305)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
877,0.7294,"(0.7205764997367747, 0.7380897198715626)",0.5705,"(0.5484656993404968, 0.5923273002891772)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
878,0.368,"(0.35853743068427313, 0.3775395028618038)",0.265,"(0.2457639832298648, 0.28492726371995747)",False,RidgeClassifier,"{'alpha': 2.9150530628251757e-05, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
879,0.9578,"(0.9536740558444321, 0.9616565497703502)",0.8955,"(0.8812585086671557, 0.9085696177698628)",False,ResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
880,0.737,"(0.7282528006637916, 0.745608977360019)",0.6005,"(0.578649643058064, 0.622055224679223)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
881,0.6305,"(0.620952938691338, 0.6399710024530381)",0.511,"(0.4888397045622639, 0.5331280021873963)",False,ShuffleNetV2_1,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
882,0.423,"(0.4132906899678089, 0.43275418052142856)",0.3295,"(0.308912784476567, 0.3505882285017311)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
883,0.7328,"(0.72401023036644, 0.7414540023606617)",0.572,"(0.5499729490311474, 0.5938156449643207)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1.0, 'zca': False, 'tot_patches': 100000}"
884,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0004977023564332114, 'momentum': 0.36272727272727273, 'weight_decay': 756.463327554629, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7728571428571428}"
885,0.7619,"(0.7534265373583098, 0.7702206796196072)",0.646,"(0.6245898988488952, 0.6669811958756982)",False,VGG13,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
886,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ShuffleNetG2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
887,0.5124,"(0.5025507812738703, 0.5222419933976262)",0.36,"(0.3389315942224876, 0.3814796612318214)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
888,0.7282,"(0.719364749359092, 0.7369021714476638)",0.568,"(0.5459540673883488, 0.5898462747738822)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
889,0.9435,"(0.9387940074111496, 0.9479455639705651)",0.87,"(0.8544676323298006, 0.8844383922254787)",False,VGG13,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
890,0.4142,"(0.4045217073644757, 0.42392829217800776)",0.331,"(0.31038687910670076, 0.3521097172060459)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
891,0.2542,"(0.24568866376256207, 0.2628547026171444)",0.2005,"(0.18315216388389882, 0.21873030357429635)",False,RidgeClassifier,"{'alpha': 1.7475284000076829e+21, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
892,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,LeNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
893,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,SENet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
894,0.485,"(0.47516016055776167, 0.4948485797673149)",0.348,"(0.32710961788700715, 0.36933694061116196)",False,SVM,"{'kernel': 'poly', 'C': 10, 'gamma': 'auto', 'scale_features': True}"
