,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
542,0.2526,"(0.24410690600527918, 0.2612373959064517)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 7742636.826811277, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
543,0.9456,"(0.9409732728266433, 0.9499649982745713)",0.874,"(0.8586564407021463, 0.8882374371006438)",False,densenet_cifar,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
544,0.4857,"(0.47585955455519363, 0.4955487778857669)",0.3575,"(0.3364674963491504, 0.3789511127969275)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
545,0.2526,"(0.24410690600527918, 0.2612373959064517)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 1023531.0218990268, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
546,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
547,0.957,"(0.9528388184901203, 0.9608922970801496)",0.887,"(0.8723041145813061, 0.9005501112205652)",False,ResNeXt29_4x64d,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
548,0.9507,"(0.946273683289447, 0.9548614092971504)",0.8865,"(0.8717781830417125, 0.900077573371422)",False,SENet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
549,0.721,"(0.7120959176322657, 0.7297752097985781)",0.5775,"(0.5555012719001451, 0.5992711673307507)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
550,0.7209,"(0.7119949816073258, 0.7296762042421954)",0.5775,"(0.5555012719001451, 0.5992711673307507)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
551,0.883,"(0.876538476320704, 0.8892375269326733)",0.7755,"(0.7565666973570051, 0.7936221496519852)",False,ShuffleNetV2_2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
552,0.5443,"(0.534477003945889, 0.554097182356955)",0.4235,"(0.40172054190999307, 0.4455040815361496)",False,RandFeaturesCoatesNg_2to4,"{'num_filters': 16, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
